epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,8089.29,0.97434,0.41821,1.04128,0.99406,0.99409,0.99388,0.75255,1.00913,0.35095,1.04712,0.00667789,0.00667789,0.00667789
61,8225.53,0.97389,0.41889,1.03648,0.99256,0.99087,0.99357,0.74874,1.00637,0.35477,1.04842,0.00657963,0.00657963,0.00657963
62,8363.91,0.97375,0.41425,1.03347,0.99215,0.99406,0.99384,0.75509,1.0079,0.3477,1.04643,0.00648071,0.00648071,0.00648071
63,8501.21,0.96172,0.40801,1.02854,0.99331,0.99189,0.99383,0.75302,1.00549,0.34739,1.0439,0.00638115,0.00638115,0.00638115
64,8638.54,0.96692,0.40642,1.03661,0.99258,0.99328,0.99395,0.75075,1.00416,0.34757,1.04442,0.00628101,0.00628101,0.00628101
65,8775.94,0.95584,0.41012,1.02432,0.99185,0.99422,0.99356,0.74824,1.00817,0.34823,1.0437,0.00618034,0.00618034,0.00618034
66,8912.67,0.96558,0.41048,1.03191,0.99479,0.99306,0.99397,0.75572,1.00936,0.35317,1.05086,0.00607916,0.00607916,0.00607916
67,9050.52,0.9443,0.40162,1.02573,0.99193,0.99183,0.99355,0.7568,1.01256,0.35221,1.05229,0.00597754,0.00597754,0.00597754
68,9187.29,0.9638,0.40392,1.02607,0.99186,0.99491,0.99378,0.75456,1.01044,0.34426,1.04534,0.00587551,0.00587551,0.00587551
69,9323.99,0.95441,0.40408,1.02961,0.99554,0.99388,0.99396,0.76003,1.00268,0.34113,1.05125,0.00577311,0.00577311,0.00577311
70,9461.51,0.94759,0.40014,1.02672,0.99481,0.99535,0.99389,0.75588,0.9946,0.34161,1.0441,0.0056704,0.0056704,0.0056704
71,9599.59,0.94846,0.39995,1.02767,0.99401,0.99406,0.99375,0.75788,1.00111,0.34618,1.04793,0.00556742,0.00556742,0.00556742
72,9738.42,0.9463,0.40049,1.02444,0.99406,0.99315,0.99389,0.75151,1.00313,0.34135,1.04269,0.00546421,0.00546421,0.00546421
73,9876.71,0.94271,0.39596,1.02141,0.99363,0.99258,0.99372,0.75323,0.99509,0.33345,1.0365,0.00536081,0.00536081,0.00536081
74,10015.1,0.93744,0.39024,1.01545,0.9933,0.99116,0.99386,0.75667,1.00057,0.33513,1.04154,0.00525728,0.00525728,0.00525728
75,10154.7,0.93907,0.39081,1.02005,0.99176,0.99629,0.99384,0.75993,1.00102,0.33594,1.03966,0.00515366,0.00515366,0.00515366
76,10292.6,0.92719,0.38674,1.01673,0.99347,0.99183,0.99385,0.76259,0.99271,0.335,1.03731,0.00505,0.00505,0.00505
77,10431.3,0.9208,0.3879,1.01484,0.995,0.99332,0.99377,0.75291,1.00955,0.33463,1.05006,0.00494634,0.00494634,0.00494634
78,10569.2,0.92014,0.3859,1.01573,0.99553,0.99202,0.99372,0.75,1.0064,0.33346,1.04599,0.00484272,0.00484272,0.00484272
79,10707.6,0.92438,0.38762,1.01362,0.99524,0.99332,0.99361,0.75333,1.01241,0.33138,1.04894,0.00473919,0.00473919,0.00473919
80,10846.7,0.91166,0.37734,1.01101,0.99555,0.99555,0.99387,0.75821,1.00101,0.32502,1.04186,0.00463579,0.00463579,0.00463579
81,10984.6,0.9057,0.37482,1.00721,0.99259,0.99507,0.99395,0.76142,1.00507,0.32856,1.04462,0.00453258,0.00453258,0.00453258
82,11122.4,0.90236,0.37921,1.00582,0.99554,0.99355,0.99381,0.76014,1.00566,0.3285,1.04179,0.0044296,0.0044296,0.0044296
83,11260.4,0.91253,0.37549,1.00845,0.99552,0.98961,0.99386,0.76442,0.99993,0.32731,1.03852,0.00432689,0.00432689,0.00432689
84,11399.6,0.9068,0.37274,1.00182,0.99266,0.99406,0.9938,0.76279,0.99817,0.32533,1.03668,0.00422449,0.00422449,0.00422449
85,11538.7,0.90223,0.37247,1.00286,0.99445,0.99332,0.99386,0.7651,0.99883,0.32861,1.0387,0.00412246,0.00412246,0.00412246
86,11677.2,0.8946,0.36721,1.00259,0.99479,0.99257,0.99382,0.76279,0.99973,0.32293,1.03752,0.00402084,0.00402084,0.00402084
87,11815.8,0.89665,0.37179,1.00133,0.99524,0.99183,0.99379,0.76048,0.9977,0.32516,1.04012,0.00391966,0.00391966,0.00391966
88,11954.2,0.89533,0.36726,1.00112,0.99732,0.99332,0.9939,0.75392,1.00335,0.32484,1.04302,0.00381899,0.00381899,0.00381899
89,12092.9,0.89952,0.36952,1.00497,0.99639,0.99258,0.99384,0.75391,1.00036,0.32291,1.04095,0.00371885,0.00371885,0.00371885
90,12232.5,0.87781,0.36086,0.99355,0.99554,0.99475,0.99379,0.75258,0.99285,0.32055,1.04177,0.00361929,0.00361929,0.00361929
91,12370.5,0.88176,0.36319,0.99455,0.99333,0.9946,0.99384,0.75165,0.99718,0.32432,1.04335,0.00352037,0.00352037,0.00352037
92,12509,0.87505,0.35877,0.99279,0.9963,0.9948,0.99377,0.7585,0.99533,0.32103,1.04181,0.00342211,0.00342211,0.00342211
93,12647.9,0.88023,0.36183,0.99582,0.99469,0.99406,0.99364,0.75483,0.99971,0.32442,1.04183,0.00332457,0.00332457,0.00332457
94,12787.1,0.87229,0.3592,0.99119,0.99102,0.9948,0.99358,0.75956,1.00022,0.32353,1.04341,0.00322778,0.00322778,0.00322778
95,12925.4,0.86302,0.3523,0.98722,0.99421,0.99258,0.99375,0.76089,1.00173,0.32326,1.04101,0.0031318,0.0031318,0.0031318
96,13063.8,0.86503,0.34934,0.98961,0.99458,0.99258,0.99369,0.7596,1.00434,0.32111,1.04179,0.00303665,0.00303665,0.00303665
97,13203.6,0.85644,0.34762,0.98392,0.99702,0.99199,0.99368,0.75872,1.0017,0.31994,1.03998,0.00294239,0.00294239,0.00294239
98,13344,0.85141,0.34822,0.98556,0.99732,0.99258,0.99375,0.75617,1.00473,0.32212,1.04476,0.00284906,0.00284906,0.00284906
99,13484,0.85417,0.34933,0.98394,0.99777,0.99458,0.99373,0.75958,0.99928,0.31824,1.04088,0.00275668,0.00275668,0.00275668
100,13623.6,0.84741,0.34537,0.98226,0.9967,0.99258,0.99362,0.7574,1.00659,0.3211,1.04313,0.00266532,0.00266532,0.00266532
